UID,url_1,current_csm,shop_name,internal_url,region,is_product_enabled,revenue_365
40627110042,https://www.randomurl.com/648961,Albert Williams,A,https://www.testurl.com/40627110042,EMEA,TRUE,4456717
49463885982,https://www.randomurl.com/919364,Leroy Jenkins,B,https://www.testurl.com/49463885982,Canada,FALSE,
56047501476,https://www.randomurl.com/780065,Alex Jones,C,https://www.testurl.com/56047501476,EMEA,TRUE,4876.77
48552640672,https://www.randomurl.com/581566,Michelle Obama,D,https://www.testurl.com/48552640672,EMEA,TRUE,
48387784853,https://www.randomurl.com/705454,Jerry Seinfeld,E,https://www.testurl.com/48387784853,APAC,FALSE,1570285.18
27872231562,https://www.randomurl.com/907182,William Klein ,F,https://www.testurl.com/27872231562,APAC,FALSE,85887.34
8667664,https://www.randomurl.com/779927,Stephan Hickens,G,https://www.testurl.com/8667664,US West,TRUE,676648
60247769257,https://www.randomurl.com/915703,Rose Robers,H,https://www.testurl.com/60247769257,EMEA,TRUE,22112305
49641914531,https://www.randomurl.com/733680,Celina Gomez,I,https://www.testurl.com/49641914531,Canada,FALSE,
44247089318,https://www.randomurl.com/844412,Jerry Seinfeld,J,https://www.testurl.com/44247089318,EMEA,FALSE,
28266233934,https://www.randomurl.com/965918,No CSM,K,https://www.testurl.com/28266233934,US East,FALSE,16269255
12516459,https://www.randomurl.com/853952,No CSM,L,https://www.testurl.com/12516459,US West,TRUE,
23249547,https://www.randomurl.com/658696,Rose Robers,M,https://www.testurl.com/23249547,US East,TRUE,3985557
53863186604,https://www.randomurl.com/629838,No CSM,N,https://www.testurl.com/53863186604,EMEA,FALSE,
55819141278,https://www.randomurl.com/576104,Taylor Bobcat,O,https://www.testurl.com/55819141278,US West,FALSE,3421106.73
22813689,https://www.randomurl.com/953653,No CSM,P,https://www.testurl.com/22813689,US West,TRUE,
9625796671,https://www.randomurl.com/800019,Ben Robinson,Q,https://www.testurl.com/9625796671,APAC,TRUE,220487.33
8551923792,https://www.randomurl.com/887454,Alex Jones,R,https://www.testurl.com/8551923792,US West,FALSE,
